Date,Aave,BinanceCoin,Bitcoin,Cardano,ChainLink,Cosmos,Dogecoin,EOS,Ethereum,Iota,Litecoin,Monero,NEM,Polkadot,Solana,Stellar,Tether,Tron,Uniswap,USDCoin,WrappedBitcoin,XRP
2013-06-23T23:59:59.948Z,,,107.5999985,,,,,,,,3.117170095,,,,,,,,,,,
2013-06-24T23:59:59.948Z,,,102.7369995,,,,,,,,2.874579906,,,,,,,,,,,
2013-06-25T23:59:59.948Z,,,103.9499969,,,,,,,,2.823280096,,,,,,,,,,,
2013-06-26T23:59:59.948Z,,,104,,,,,,,,2.859999895,,,,,,,,,,,
2013-06-27T23:59:59.948Z,,,101.4369965,,,,,,,,3.019779921,,,,,,,,,,,
2013-06-28T23:59:59.948Z,,,94.64920044,,,,,,,,2.747669935,,,,,,,,,,,
2013-06-29T23:59:59.948Z,,,94.9940033,,,,,,,,2.794719934,,,,,,,,,,,
2013-06-30T23:59:59.948Z,,,96.61399841,,,,,,,,2.980540037,,,,,,,,,,,
2013-07-01T23:59:59.948Z,,,88.05000305,,,,,,,,2.948790073,,,,,,,,,,,
2013-07-02T23:59:59.948Z,,,90.13400269,,,,,,,,2.834719896,,,,,,,,,,,
2013-07-03T23:59:59.948Z,,,77.52999878,,,,,,,,2.615089893,,,,,,,,,,,
2013-07-04T23:59:59.948Z,,,80.52580261,,,,,,,,2.725800037,,,,,,,,,,,
2013-07-05T23:59:59.948Z,,,68.43099976,,,,,,,,2.431349993,,,,,,,,,,,
2013-07-06T23:59:59.948Z,,,70.27729797,,,,,,,,2.516629934,,,,,,,,,,,
2013-07-07T23:59:59.948Z,,,74.56109619,,,,,,,,2.656610012,,,,,,,,,,,
2013-07-08T23:59:59.948Z,,,76.51599884,,,,,,,,2.609200001,,,,,,,,,,,
2013-07-09T23:59:59.948Z,,,76.69400024,,,,,,,,2.6129601,,,,,,,,,,,
2013-07-10T23:59:59.948Z,,,86.76000214,,,,,,,,2.811019897,,,,,,,,,,,
2013-07-11T23:59:59.948Z,,,88.98000336,,,,,,,,2.726350069,,,,,,,,,,,
2013-07-12T23:59:59.948Z,,,93.59490204,,,,,,,,2.789129972,,,,,,,,,,,
2013-07-13T23:59:59.948Z,,,98.1339035,,,,,,,,2.899859905,,,,,,,,,,,
2013-07-14T23:59:59.948Z,,,94.69129944,,,,,,,,2.907969952,,,,,,,,,,,
2013-07-15T23:59:59.948Z,,,98.40019989,,,,,,,,2.98251009,,,,,,,,,,,
2013-07-16T23:59:59.948Z,,,97.45079803,,,,,,,,3.098939896,,,,,,,,,,,
2013-07-17T23:59:59.948Z,,,98.5,,,,,,,,3.145109892,,,,,,,,,,,
2013-07-18T23:59:59.948Z,,,90.58000183,,,,,,,,2.886780024,,,,,,,,,,,
2013-07-19T23:59:59.948Z,,,92.16999817,,,,,,,,2.962340117,,,,,,,,,,,
2013-07-20T23:59:59.948Z,,,89.39009857,,,,,,,,2.859590054,,,,,,,,,,,
2013-07-21T23:59:59.948Z,,,90.75730133,,,,,,,,2.91602993,,,,,,,,,,,
2013-07-22T23:59:59.948Z,,,91.61000061,,,,,,,,2.887550116,,,,,,,,,,,
2013-07-23T23:59:59.948Z,,,95.5585022,,,,,,,,2.988110065,,,,,,,,,,,
2013-07-24T23:59:59.948Z,,,94.51000214,,,,,,,,2.943039894,,,,,,,,,,,
2013-07-25T23:59:59.948Z,,,96.90000153,,,,,,,,2.974829912,,,,,,,,,,,
2013-07-26T23:59:59.948Z,,,96.02020264,,,,,,,,2.902689934,,,,,,,,,,,
2013-07-27T23:59:59.948Z,,,94.11599731,,,,,,,,2.879950047,,,,,,,,,,,
2013-07-28T23:59:59.948Z,,,99.7559967,,,,,,,,2.977790117,,,,,,,,,,,
2013-07-29T23:59:59.948Z,,,101.1999969,,,,,,,,2.963140011,,,,,,,,,,,
2013-07-30T23:59:59.948Z,,,107.9899979,,,,,,,,2.985919952,,,,,,,,,,,
2013-07-31T23:59:59.948Z,,,106.0899963,,,,,,,,2.86868,,,,,,,,,,,
2013-08-01T23:59:59.948Z,,,104,,,,,,,,2.909919977,,,,,,,,,,,
2013-08-02T23:59:59.948Z,,,104.5009995,,,,,,,,2.843470097,,,,,,,,,,,
2013-08-03T23:59:59.948Z,,,104.0049973,,,,,,,,2.964139938,,,,,,,,,,,
2013-08-04T23:59:59.948Z,,,105.1439972,,,,,,,,3.00921011,,,,,,,,,,,
2013-08-05T23:59:59.948Z,,,106.2200012,,,,,,,,2.830760002,,,,,,,,,,,0.00561266
2013-08-06T23:59:59.948Z,,,106.75,,,,,,,,2.823879957,,,,,,,,,,,0.00468042
2013-08-07T23:59:59.948Z,,,106.75,,,,,,,,2.755739927,,,,,,,,,,,0.00441732
2013-08-08T23:59:59.948Z,,,103,,,,,,,,2.704780102,,,,,,,,,,,0.00425417
2013-08-09T23:59:59.948Z,,,102.8000031,,,,,,,,2.678970098,,,,,,,,,,,0.00429112
2013-08-10T23:59:59.948Z,,,103,,,,,,,,2.561609983,,,,,,,,,,,0.00431382
2013-08-11T23:59:59.948Z,,,105,,,,,,,,2.694299936,,,,,,,,,,,0.00441532
2013-08-12T23:59:59.948Z,,,106.6360016,,,,,,,,2.64989996,,,,,,,,,,,0.00444854
2013-08-13T23:59:59.948Z,,,109,,,,,,,,2.739170074,,,,,,,,,,,0.00424543
2013-08-14T23:59:59.948Z,,,112.5619965,,,,,,,,2.727380037,,,,,,,,,,,0.00378842
2013-08-15T23:59:59.948Z,,,109.9899979,,,,,,,,2.761850119,,,,,,,,,,,0.00309197
2013-08-16T23:59:59.948Z,,,108.9940033,,,,,,,,2.717230082,,,,,,,,,,,0.00313352
2013-08-17T23:59:59.948Z,,,113.5,,,,,,,,2.819339991,,,,,,,,,,,0.00567101
2013-08-18T23:59:59.948Z,,,113.5,,,,,,,,2.797780037,,,,,,,,,,,0.00561744
2013-08-19T23:59:59.948Z,,,119,,,,,,,,2.822679996,,,,,,,,,,,0.00526041
2013-08-20T23:59:59.948Z,,,121.2050018,,,,,,,,2.78166008,,,,,,,,,,,0.00609805
2013-08-21T23:59:59.948Z,,,123.3000031,,,,,,,,2.695339918,,,,,,,,,,,0.00613065
2013-08-22T23:59:59.948Z,,,121.1500015,,,,,,,,2.752530098,,,,,,,,,,,0.00514272
2013-08-23T23:59:59.948Z,,,118.5009995,,,,,,,,2.720779896,,,,,,,,,,,0.00513859
2013-08-24T23:59:59.948Z,,,120.0449982,,,,,,,,2.689009905,,,,,,,,,,,0.00554599
2013-08-25T23:59:59.948Z,,,122.1110001,,,,,,,,2.593640089,,,,,,,,,,,0.00610389
2013-08-26T23:59:59.948Z,,,120.0559998,,,,,,,,2.565589905,,,,,,,,,,,0.00641692
2013-08-27T23:59:59.948Z,,,126.5,,,,,,,,2.573009968,,,,,,,,,,,0.00645204
2013-08-28T23:59:59.948Z,,,122.6200027,,,,,,,,2.522289991,,,,,,,,,,,0.00624597
2013-08-29T23:59:59.948Z,,,122.3899994,,,,,,,,2.545710087,,,,,,,,,,,0.0057626
